,Episode name,Season,Number,Release date,Score
97,Dark Side of the Moon,5,16,1 Apr. 2010,8.8
98,99 Problems,5,17,8 Apr. 2010,8.5
99,Point of No Return,5,18,15 Apr. 2010,9.0
100,Hammer of the Gods,5,19,22 Apr. 2010,9.1
101,The Devil You Know,5,20,29 Apr. 2010,8.7
102,Two Minutes to Midnight,5,21,6 May 2010,9.3
103,Swan Song,5,22,13 May 2010,9.7
104,Exile on Main St.,6,1,24 Sep. 2010,7.8
105,Two and a Half Men,6,2,1 Oct. 2010,8.0
106,The Third Man,6,3,8 Oct. 2010,8.2
107,Weekend at Bobby's,6,4,15 Oct. 2010,9.2
108,Live Free or Twihard,6,5,22 Oct. 2010,8.4
109,You Can't Handle the Truth,6,6,29 Oct. 2010,8.5
110,Family Matters,6,7,5 Nov. 2010,8.1
111,All Dogs Go to Heaven,6,8,12 Nov. 2010,7.8
112,Clap Your Hands If You Believe,6,9,19 Nov. 2010,8.5
113,Caged Heat,6,10,3 Dec. 2010,8.6
114,Appointment in Samarra,6,11,10 Dec. 2010,9.2
115,Like a Virgin,6,12,4 Feb. 2011,8.4
116,Unforgiven,6,13,11 Feb. 2011,8.1
117,Mannequin 3: The Reckoning,6,14,18 Feb. 2011,7.6
118,The French Mistake,6,15,25 Feb. 2011,9.6
119,And Then There Were None,6,16,4 Mar. 2011,8.4
120,My Heart Will Go On,6,17,15 Apr. 2011,8.7
121,Frontierland,6,18,22 Apr. 2011,9.0
122,Mommy Dearest,6,19,29 Apr. 2011,8.6
123,The Man Who Would Be King,6,20,6 May 2011,8.9
124,Let It Bleed,6,21,20 May 2011,8.6
125,The Man Who Knew Too Much,6,22,20 May 2011,9.0
126,Meet the New Boss,7,1,23 Sep. 2011,9.0
127,"Hello, Cruel World",7,2,30 Sep. 2011,8.5
128,The Girl Next Door,7,3,7 Oct. 2011,8.2
129,Defending Your Life,7,4,14 Oct. 2011,8.0
130,"Shut Up, Dr. Phil",7,5,21 Oct. 2011,8.2
131,Slash Fiction,7,6,28 Oct. 2011,8.7
132,The Mentalists,7,7,4 Nov. 2011,8.1
133,"Season Seven, Time for a Wedding!",7,8,11 Nov. 2011,8.0
134,How to Win Friends and Influence Monsters,7,9,18 Nov. 2011,8.5
135,Death's Door,7,10,2 Dec. 2011,9.2
136,Adventures in Babysitting,7,11,6 Jan. 2012,8.1
137,Time After Time,7,12,13 Jan. 2012,8.8
138,The Slice Girls,7,13,3 Feb. 2012,8.1
139,Plucky Pennywhistle's Magical Menagerie,7,14,10 Feb. 2012,8.2
140,Repo Man,7,15,17 Feb. 2012,8.2
141,Out with the Old,7,16,16 Mar. 2012,8.2
142,The Born-Again Identity,7,17,23 Mar. 2012,9.0
143,"Party On, Garth",7,18,30 Mar. 2012,8.5
144,Of Grave Importance,7,19,20 Apr. 2012,8.5
145,The Girl with the Dungeons and Dragons Tattoo,7,20,27 Apr. 2012,9.1
146,Reading is Fundamental,7,21,4 May 2012,8.6
147,There Will Be Blood,7,22,11 May 2012,8.6
148,Survival of the Fittest,7,23,18 May 2012,8.8
149,We Need to Talk About Kevin,8,1,3 Oct. 2012,8.3
150,"What's Up, Tiger Mommy?",8,2,10 Oct. 2012,8.3
151,Heartache,8,3,17 Oct. 2012,7.7
152,Bitten,8,4,24 Oct. 2012,7.2
153,Blood Brother,8,5,31 Oct. 2012,8.0
154,Southern Comfort,8,6,7 Nov. 2012,8.0
155,A Little Slice of Kevin,8,7,14 Nov. 2012,8.3
156,Hunteri Heroici,8,8,28 Nov. 2012,8.8
157,Citizen Fang,8,9,5 Dec. 2012,8.2
158,Torn and Frayed,8,10,16 Jan. 2013,8.1
159,LARP and the Real Girl,8,11,23 Jan. 2013,8.8
160,As Time Goes By,8,12,30 Jan. 2013,9.1
161,Everybody Hates Hitler,8,13,6 Feb. 2013,8.6
162,Trial and Error,8,14,13 Feb. 2013,8.6
163,Man's Best Friend with Benefits,8,15,20 Feb. 2013,7.4
164,Remember the Titans,8,16,27 Feb. 2013,7.8
165,Goodbye Stranger,8,17,20 Mar. 2013,8.5
166,Freaks and Geeks,8,18,27 Mar. 2013,7.5
167,Taxi Driver,8,19,3 Apr. 2013,8.6
168,Pac-Man Fever,8,20,24 Apr. 2013,8.5
169,The Great Escapist,8,21,1 May 2013,8.5
170,Clip Show,8,22,8 May 2013,8.5
171,Sacrifice,8,23,15 May 2013,9.3
172,I Think I'm Gonna Like It Here,9,1,8 Oct. 2013,8.7
173,Devil May Care,9,2,15 Oct. 2013,8.4
174,I'm No Angel,9,3,22 Oct. 2013,8.3
175,Slumber Party,9,4,29 Oct. 2013,8.1
176,Dog Dean Afternoon,9,5,5 Nov. 2013,8.6
177,Heaven Can't Wait,9,6,12 Nov. 2013,8.2
178,Bad Boys,9,7,19 Nov. 2013,8.4
179,Rock and a Hard Place,9,8,26 Nov. 2013,8.0
180,Holy Terror,9,9,3 Dec. 2013,8.7
181,Road Trip,9,10,14 Jan. 2014,8.9
182,First Born,9,11,21 Jan. 2014,9.2
183,Sharp Teeth,9,12,28 Jan. 2014,7.6
184,The Purge,9,13,4 Feb. 2014,7.9
185,Captives,9,14,25 Feb. 2014,8.1
186,#thinman,9,15,4 Mar. 2014,7.4
187,Blade Runners,9,16,18 Mar. 2014,8.4
188,Mother's Little Helper,9,17,25 Mar. 2014,8.6
189,Meta Fiction,9,18,15 Apr. 2014,8.2
190,Alex Annie Alexis Ann,9,19,22 Apr. 2014,7.7
191,Bloodlines,9,20,29 Apr. 2014,5.9
192,King of the Damned,9,21,6 May 2014,8.7
193,Stairway to Heaven,9,22,13 May 2014,8.4
194,Do You Believe in Miracles,9,23,20 May 2014,9.3
195,Black,10,1,7 Oct. 2014,8.3
196,Reichenbach,10,2,14 Oct. 2014,8.7
197,Soul Survivor,10,3,21 Oct. 2014,8.4
198,Paper Moon,10,4,28 Oct. 2014,7.2
199,Fan Fiction,10,5,11 Nov. 2014,9.5
200,Ask Jeeves,10,6,18 Nov. 2014,8.1
201,"Girls, Girls, Girls",10,7,25 Nov. 2014,8.2
202,Hibbing 911,10,8,2 Dec. 2014,8.0
203,The Things We Left Behind,10,9,9 Dec. 2014,8.1
204,The Hunter Games,10,10,20 Jan. 2015,7.8
205,There's No Place Like Home,10,11,27 Jan. 2015,8.0
206,About a Boy,10,12,3 Feb. 2015,8.7
207,Halt & Catch Fire,10,13,10 Feb. 2015,7.4
208,The Executioner's Song,10,14,17 Feb. 2015,8.8
209,The Things They Carried,10,15,18 Mar. 2015,8.0
210,Paint It Black,10,16,25 Mar. 2015,7.3
211,Inside Man,10,17,1 Apr. 2015,8.6
212,Book of the Damned,10,18,15 Apr. 2015,8.8
213,The Werther Project,10,19,22 Apr. 2015,8.6
214,Angel Heart,10,20,29 Apr. 2015,8.2
215,Dark Dynasty,10,21,6 May 2015,7.3
216,The Prisoner,10,22,13 May 2015,9.1
217,Brother's Keeper,10,23,20 May 2015,9.1
218,"Out of the Darkness, Into the Fire",11,1,7 Oct. 2015,8.6
219,Form and Void,11,2,14 Oct. 2015,8.7
220,The Bad Seed,11,3,21 Oct. 2015,8.2
221,Baby,11,4,28 Oct. 2015,9.5
222,Thin Lizzie,11,5,4 Nov. 2015,8.4
223,Our Little World,11,6,11 Nov. 2015,8.5
224,Plush,11,7,18 Nov. 2015,8.2
225,Just My Imagination,11,8,2 Dec. 2015,9.0
226,"O Brother, Where Art Thou?",11,9,9 Dec. 2015,9.2
227,The Devil in the Details,11,10,20 Jan. 2016,9.1
228,Into the Mystic,11,11,27 Jan. 2016,8.6
229,Don't You Forget About Me,11,12,3 Feb. 2016,8.4
230,Love Hurts,11,13,10 Feb. 2016,8.1
231,The Vessel,11,14,17 Feb. 2016,8.8
232,Beyond the Mat,11,15,24 Feb. 2016,7.8
233,Safe House,11,16,23 Mar. 2016,9.0
234,Red Meat,11,17,30 Mar. 2016,8.4
235,Hell's Angel,11,18,6 Apr. 2016,8.8
236,The Chitters,11,19,27 Apr. 2016,7.7
237,Don't Call Me Shurley,11,20,4 May 2016,9.4
238,All in the Family,11,21,11 May 2016,8.8
239,We Happy Few,11,22,18 May 2016,8.8
240,Alpha and Omega,11,23,25 May 2016,8.5
241,Keep Calm and Carry On,12,1,13 Oct. 2016,8.4
242,Mamma Mia,12,2,20 Oct. 2016,8.2
243,The Foundry,12,3,27 Oct. 2016,8.0
244,American Nightmare,12,4,3 Nov. 2016,8.3
245,The One You've Been Waiting For,12,5,10 Nov. 2016,7.6
246,Celebrating the Life of Asa Fox,12,6,17 Nov. 2016,8.5
